  Page 1                                             17-02-2014 23:18:05
  **********************************************************************
  *                             E P A N E T                            *
  *                     Hydraulic and Water Quality                    *
  *                     Analysis for Pipe Networks                     *
  *                           Version 2.0                              *
  **********************************************************************
  
  Input File: saomamede1.13.1 (calibrado).NET
  
  prueba
  
  Link - Node Table:
  ----------------------------------------------------------------------
  Link           Start          End                Length  Diameter
  p59            nv57           n59                 249.1        79
  p15            n15            n17                   1.5        79
  p55            n54            n55                 160.3        79
  p10            nv11           n12                 70.48        81
  p58            n57            n58                 104.5        79
  p57            nv56           n57                 113.6        79
  p14            nv15           n16                 247.7        79
  p20            n22            nv21                162.7        79
  p9             n9             n11                 221.9        81
  p52            nv51           n52                 438.4        79
  p54            nv51'          n54                  41.9        79
  p17            nv18           n19                 65.18        81
  p22            n8             n23                 309.4        81
  p8             n9             nv10                  3.3        81
  p16            n17            n18                 53.45        81
  p53            nv52           n53                 168.2        79
  p19            n19            n21                  17.1        81
  p12            nv11'          nv14                296.3        81
  p35            nv35           n36                   9.2        57


  Page 5                                                          prueba
  Link - Node Table: (continued)
  ----------------------------------------------------------------------
  Link           Start          End                Length  Diameter
  ID             Node           Node                    m        mm
  ----------------------------------------------------------------------
  p61            nv60           n61                  64.3        79
  p78            n78            n73                  98.2        96
  p63            n62            n63                    20        79
  p70            n68            n70                 136.6        67
  p38            n38            n39                   5.7        81
  p72            n71            nv72                  1.8        79
  p26            n25            n27                  90.1        81
  p24            nv24           n25                  57.7        81
  p84            n83            n82                  61.2       144
  p90            n86            n87                     6       144
  p64            n63            n64                 195.3        81
  p21            nv23           nv22                258.6        79
  p118           nv113'         n115                 91.4        79
  p117           nv113          n114                 91.1        79
  p110           n105           n107                 15.9        79
  p75            nv74           n75                  83.9        81
  p28            n27            n29                     5        81
  p41            nv41''         n42                 190.2        81
  p86            n84            n38                   1.5        81
  p119           n115           n116                 35.4        79
  p115           nv111          n112                 94.9        79
  p76            n76            n74                  34.6        81
  p43            nv43           n44                  60.6        79
  p85            n84            nv83                490.7       144
  p32            n31            n33                   353        81
  p47            nv47           n48                  69.3        79
  p116           n111           n113                 27.2        79
  p27            nv27           n28                 113.5        81
  p45            n44            n46                 128.1        79
  p42            nv41''         n43                 227.5        79
  p89            n85            n86                  16.1       144
  p88            nv84           n85                  51.5       113
  p91            nv87           n88                  61.7       144
  p65            nv64           n65                 109.6        81
  p82            nv76           nv80                108.6       144
  p79            nv78           nv79                110.2        81
  p40            n40            n41                  62.6        79
  p39            nv39           n40                  72.5        81
  p80            n80            n78                   6.4        96
  p62            n60            n62                   3.4        81
  p107           nv102'         n104                 29.6        79
