  Page 1                                             17-02-2014 23:18:05
  **********************************************************************
  *                             E P A N E T                            *
  *                     Hydraulic and Water Quality                    *
  *                     Analysis for Pipe Networks                     *
  *                           Version 2.0                              *
  **********************************************************************
  
  Input File: saomamede1.13.1 (calibrado).NET
  
  prueba
  
  Link - Node Table:
  ----------------------------------------------------------------------
  Link           Start          End                Length  Diameter
  nv101                 0.00    308.50     45.30      0.00
  nv151                 0.00    292.26     18.96      0.00
  n118                  0.00    353.79     86.19      0.00
  n105                  0.01    308.49     42.39      0.00
  n194                  0.04    203.10     50.40      0.00
  n15                   0.00    356.76     92.16      0.00
  n14                   0.09    356.76     89.26      0.00
  n55                   0.01    356.75     70.85      0.00
  nv56                  0.00    356.74     41.44      0.00
  n19                   0.02    356.76     98.26      0.00
  n20                   0.03    356.76    100.06      0.00
  nv14'                 0.00    356.76     89.26      0.00
  n51                   0.02    356.75     85.45      0.00
  n59                   0.03    356.74     15.94      0.00
  n57                   0.04    356.74     33.74      0.00
  n17                   0.00    356.76     92.16      0.00
  n54                   0.00    356.75     79.55      0.00
  n11                   0.23    356.79     66.49      0.00
  n12                   0.09    356.78     65.38      0.00
  n58                   0.03    356.74     16.64      0.00
  n21                   0.10    356.76     98.56      0.00
  n16                   0.06    356.76     74.36      0.00
  nv22                  0.00    356.78     85.68      0.00
  n52                   0.09    356.74     83.64      0.00
  n18                   0.06    356.76     95.06      0.00
  n23                   0.12    356.84     63.54      0.00
  n10                   0.02    356.89     45.39      0.00
  n53                   0.06    356.74     72.34      0.00
  n35                   0.00    356.86     74.16      0.00
  n36                   0.03    356.86     75.16      0.00
  n65                   0.16    356.50    106.70      0.00
  n60                   0.19    356.60    120.30      0.00
  n61                   0.06    356.60    117.40      0.00


  Page 15                                                         prueba
  Node Results: (continued)
  ----------------------------------------------------------------------
  Node                Demand      Head  Pressure   Quality
  ID                     LPS         m         m      mg/L
  ----------------------------------------------------------------------
  nv78                  0.00    356.83    111.93      0.00
  n78                   0.00    356.83    111.93      0.00
  n73                   0.09    356.82    107.82      0.00
  n62                   0.03    356.60    120.40      0.00
  n63                   0.00    356.59    120.19      0.00
  n68                   0.02    356.51     95.61      0.00
  n70                   0.24    356.49    104.39      0.00
  n38                   0.21    356.93     48.53      0.00
  nv39                  0.00    356.93     49.53      0.00
  n113                  0.01    308.49     27.59      0.00
  n71                   0.00    356.82    107.92      0.00
  n72                   0.03    356.82    108.02      0.00
  n25                   0.04    356.83     58.63      0.00
  n27                   0.00    356.83     56.03      0.00
  nv24                  0.00    356.83     65.33      0.00
  n82                   0.07    356.86     92.76      0.00
  n83                   0.12    356.87     82.17      0.00
  nv41''                0.00    311.60     14.80      0.00
  n86                   0.00    356.43     53.33      0.00
  n87                   0.00    356.42     53.62      0.00
  n50                   0.42    356.76    103.26      0.00
  n64                   0.08    356.51    102.61      0.00
  n115                  0.01    308.49     15.19      0.00
  n114                  0.01    308.49     16.79      0.00
  n107                  0.01    308.49     41.79      0.00
  n74                   0.06    356.83    104.03      0.00
  n75                   0.00    356.83     96.43      0.00
  n29                   0.02    356.83     56.53      0.00
  n42                   0.07    311.60     31.70      0.00
  nv83                  0.00    356.87     82.17      0.00
  nv33                  0.00    356.85     84.25      0.00
  n116                  0.01    308.49     12.89      0.00
  n111                  0.01    308.49     32.79      0.00
  n112                  0.01    308.49     41.89      0.00
  n76                   0.13    356.84    102.14      0.00
  n43                   0.00    311.60     37.70      0.00
  n44                   0.02    311.60     31.10      0.00
  nv41'                 0.00    311.60     15.00      0.00
  n47                   0.02    311.60     38.30      0.00
  nv76                  0.00    356.84    102.14      0.00
  n31                   0.11    356.83     55.83      0.00
  n48                   0.04    311.60     45.60      0.00
  n28                   0.08    356.83     61.53      0.00
  n46                   0.02    311.60     26.10      0.00
  n85                   0.00    356.48     51.68      0.00
  nv64                  0.00    356.51    102.61      0.00
  nv80                  0.00    356.84    112.34      0.00


  Page 16                                                         prueba
  Node Results: (continued)
  ----------------------------------------------------------------------
  Node                Demand      Head  Pressure   Quality
  ID                     LPS         m         m      mg/L
  ----------------------------------------------------------------------
  n79                   0.19    356.83    118.63      0.00
  n40                   0.03    356.93     56.03      0.00
  n41                   0.03    356.92     60.32      0.00
  n80                   0.13    356.84    112.34      0.00
  n104                  0.01    308.49     38.09      0.00
  n34                   0.00    356.86     78.16      0.00
  n32                   0.07    356.83     45.73      0.00
  n69                   0.02    356.51     91.21      0.00
  n77                   0.04    356.84    111.34      0.00
  n26                   0.11    356.83     51.33      0.00
  n49                   0.23    356.80     73.40      0.00
  n24                   0.07    356.83     65.33      0.00
  n37                   0.03    356.86     73.76      0.00
  nv41                  0.00    356.92     60.32      0.00
  n66                   0.12    356.50    123.70      0.00
  n117                  0.00    308.49     17.09      0.00
  n106                  0.01    308.49     42.59      0.00
  n108                  0.01    308.49     49.49      0.00
  nv73                  0.00    356.82    107.82      0.00
  n30                   0.02    356.83     44.33      0.00
  n45                   0.02    311.60     29.50      0.00
  n126                  0.02    353.57     60.87      0.00
  n127                  0.00    353.55     90.95      0.00
  n142                  0.02    286.56     24.16      0.00
  n143                  0.00    286.55     28.05      0.00
  n139                  0.06    286.57     17.97      0.00
  n138                  0.01    286.57     22.77      0.00
  nv133''               0.00    286.59     15.39      0.00
  n129                  0.05    286.60     11.80      0.00
  n109                  0.01    308.49     51.59      0.00
  n128                  0.00    286.60     14.30      0.00
  n136                  0.05    286.59     12.99      0.00
  n137                  0.05    286.59     13.79      0.00
  n132                  0.05    286.60      7.40      0.00
  nv131                 0.00    286.60     15.70      0.00
  n130                  0.05    286.60      5.60      0.00
  n146                  0.15    286.50     46.70      0.00
  n147                  0.16    286.50     49.50      0.00
  n148                  0.07    286.49     53.99      0.00
  n134                  0.01    286.59     13.59      0.00
  n135                  0.01    286.59     13.19      0.00
  n144                  0.05    286.55     31.85      0.00
  n123                  0.06    353.64     96.04      0.00
  n124                  0.00    353.64     95.14      0.00
  n133                  0.02    286.59     14.49      0.00
  n145                  0.09    286.53     33.33      0.00
  n140                  0.04    286.57     18.47      0.00


  Page 17                                                         prueba
  Node Results: (continued)
  ----------------------------------------------------------------------
  Node                Demand      Head  Pressure   Quality
  ID                     LPS         m         m      mg/L
  ----------------------------------------------------------------------
  n141                  0.05    286.57     19.37      0.00
  n125                  0.03    353.64     98.84      0.00
  n110                  0.01    308.49     50.59      0.00
  nv148                 0.00    286.49     53.99      0.00
  n149                  0.09    286.49     53.39      0.00
  n150                  0.06    286.49     55.49      0.00
  n67                   0.08    356.50     97.80      0.00
  n13                   0.20    356.76     29.06      0.00
  n203                  0.00    202.64     91.64      0.00
  nv8                   0.00    357.23     44.83      0.00
  nv10                  0.00    356.89     45.39      0.00
  nv11                  0.00    356.79     66.49      0.00
  nv11'                 0.00    356.79     66.49      0.00
  nv14                  0.00    356.76     89.26      0.00
  nv51                  0.00    356.75     85.45      0.00
  nv51'                 0.00    356.75     85.45      0.00
  nv52                  0.00    356.74     83.64      0.00
  n56                   0.01    356.74     41.44      0.00
  nv57                  0.00    356.74     33.74      0.00
  nv55                  0.00    356.75     70.85      0.00
  nv15                  0.00    356.76     92.16      0.00
  nv18                  0.00    356.76     95.06      0.00
  nv19                  0.00    356.76     98.26      0.00
  nv21                  0.00    356.76     98.56      0.00
  n22                   0.18    356.78     85.68      0.00
  nv23                  0.00    356.84     63.54      0.00
  nv49                  0.00    356.80     73.40      0.00
  nv50                  0.00    356.76    103.26      0.00
  nv50'                 0.00    356.76    103.26      0.00
  nv50''                0.00    356.76    103.26      0.00
  nv60                  0.00    356.60    120.30      0.00
  nv65                  0.00    356.50    106.70      0.00
  nv65'                 0.00    356.50    106.70      0.00
  nv25                  0.00    356.83     58.63      0.00
  nv27                  0.00    356.83     56.03      0.00
  nv29                  0.00    356.83     56.53      0.00
  n33                   0.14    356.85     84.25      0.00
  nv35                  0.00    356.86     74.16      0.00
  n39                   0.22    356.93     49.53      0.00
  nv84                  0.00    356.93     48.93      0.00
  nv72                  0.00    356.82    108.02      0.00
  nv79                  0.00    356.83    118.63      0.00
  n81                   0.03    356.84    112.54      0.00
  nv81                  0.00    356.84    112.54      0.00
  nv74                  0.00    356.83    104.03      0.00
  nv87                  0.00    356.42     53.62      0.00
  nv43                  0.00    311.60     37.70      0.00


  Page 18                                                         prueba
  Node Results: (continued)
  ----------------------------------------------------------------------
  Node                Demand      Head  Pressure   Quality
  ID                     LPS         m         m      mg/L
  ----------------------------------------------------------------------
  nv47                  0.00    311.60     38.30      0.00
  nv90                  0.00    355.76     54.36      0.00
  nv95                  0.00    354.70     71.70      0.00
  nv96                  0.00    308.50     31.00      0.00
  nv97                  0.00    308.50     36.80      0.00
  nv99                  0.00    308.50     36.60      0.00
  nv101'                0.00    308.50     45.30      0.00
  nv102                 0.00    308.49     40.39      0.00
  nv102'                0.00    308.49     40.39      0.00
  nv107'                0.00    308.49     41.79      0.00
  nv107                 0.00    308.49     41.79      0.00
  nv111                 0.00    308.49     32.79      0.00
  nv113                 0.00    308.49     27.59      0.00
  nv113'                0.00    308.49     27.59      0.00
  nv121                 0.00    353.63     83.73      0.00
  nv120                 0.00    353.64     83.84      0.00
  nv119                 0.00    353.64     83.84      0.00
  nv122                 0.00    294.90     33.00      0.00
  nv123                 0.00    353.64     96.04      0.00
  nv125                 0.00    353.64     98.84      0.00
  nv129                 0.00    286.60     11.80      0.00
  nv129'                0.00    286.60     11.80      0.00
  n131                  0.05    286.60     15.70      0.00
  nv128                 0.00    286.60     14.30      0.00
  nv127                 0.00    286.60     24.00      0.00
  nv133                 0.00    286.59     14.49      0.00
  nv133'                0.00    286.59     15.39      0.00
  nv134                 0.00    286.59     13.59      0.00
  nv135                 0.00    286.59     13.19      0.00
  nv142                 0.00    286.56     24.16      0.00
  nv145                 0.00    286.53     33.33      0.00
  nv150                 0.00    286.49     55.49      0.00
  n151                  0.00    292.26     18.96      0.00
  nv153'                0.00    285.25     39.15      0.00
  nv186                 0.00    283.30     60.00      0.00
  nv186'                0.00    283.30     60.00      0.00
  nv155                 0.00    219.10      5.00      0.00
  nv159                 0.00    218.91     23.91      0.00
  nv159'                0.00    218.91     23.91      0.00
  nv161                 0.00    218.91     22.71      0.00
  nv161'                0.00    218.91     22.71      0.00
  n164                  0.00    218.91     20.41      0.00
  nv167                 0.00    217.22     87.72      0.00
  n172                  0.05    217.18     90.38      0.00
  nv174                 0.00    217.14     94.44      0.00
  nv175                 0.00    217.12    101.62      0.00
  nv178'                0.00    217.13     97.53      0.00


  Page 19                                                         prueba
  Node Results: (continued)
  ----------------------------------------------------------------------
  Node                Demand      Head  Pressure   Quality
  ID                     LPS         m         m      mg/L
  ----------------------------------------------------------------------
  nv170                 0.00    217.11     71.61      0.00
  nv170'                0.00    217.11     71.61      0.00
  nv181                 0.00    217.08     64.58      0.00
  nv183'                0.00    217.06     69.16      0.00
  nv183                 0.00    217.06     69.16      0.00
  nv185                 0.00    217.06     80.06      0.00
  nv190                 0.00    282.88    112.68      0.00
  nv190'                0.00    203.31     33.11      0.00
  nv188                 0.00    282.88    105.88      0.00
  nv187                 0.00    282.90     50.80      0.00
  n216                  0.00    282.28     62.18      0.00
  nv218                 0.00    226.25     67.35      0.00
  nv218'                0.00    226.25     67.35      0.00
  nv219                 0.00    226.23     77.73      0.00
  nv235                 0.00    166.20     15.00      0.00
  n235                  0.00    225.59     74.39      0.00
  nv234                 0.00    166.19     15.09      0.00
  nv193                 0.00    203.11     52.01      0.00
  nv195                 0.00    202.96     64.76      0.00
  nv195'                0.00    202.96     64.76      0.00
  nv197                 0.00    202.70     84.60      0.00
  nv198                 0.00    202.69     81.29      0.00
  nv200                 0.00    202.69     79.89      0.00
  nv202                 0.00    202.66     88.86      0.00
  nv202'                0.00    202.66     88.86      0.00
  nv202''               0.00    202.66     88.86      0.00
  nv204                 0.00    202.64     90.34      0.00
  nv204'                0.00    202.64     90.34      0.00
  nv207                 0.00    202.63     97.23      0.00
  nv207'                0.00    202.63     97.23      0.00
  n209                  0.04    202.63    101.33      0.00
  nv210                 0.00    202.63    106.93      0.00
  nv208                 0.00    202.63    106.83      0.00
  nv212                 0.00    202.66     93.46      0.00
  nv214                 0.00    202.66     99.56      0.00
  nv249                 0.00    161.05     58.05      0.00
  nv241                 0.00    161.05     48.65      0.00
  n250                  0.00    161.53     52.63      0.00
  nv255'                0.00    118.50     12.20      0.00
  nv255                 0.00    118.51     12.21      0.00
  nv256                 0.00    118.49     19.19      0.00
  nv258                 0.00    118.48     21.88      0.00
  nv269                 0.00    118.23     28.63      0.00
  nv271                 0.00    118.20     43.00      0.00
  nv275                 0.00    118.17     68.27      0.00
  n279                  0.00    118.17     81.07      0.00
  nv120'                0.00    353.64     83.84      0.00


  Page 20                                                         prueba
  Node Results: (continued)
  ----------------------------------------------------------------------
  Node                Demand      Head  Pressure   Quality
  ID                     LPS         m         m      mg/L
  ----------------------------------------------------------------------
  n178                  0.02    217.13     97.53      0.00
  nv221                 0.00    226.17     79.17      0.00
  ext1                  0.00    363.28      7.38      0.00
  TANK-2              -13.80    359.25      3.35      0.00 Tank
  TANK-1               -2.98    363.28      7.38      0.00 Tank
  
  Link Results:
  ----------------------------------------------------------------------
  Link                  Flow  VelocityUnit Headloss    Status
  ID                     LPS       m/s      m/km
  ----------------------------------------------------------------------
  p232                  0.05      0.01      0.00      Open
  p233                  0.02      0.01      0.01      Open
  p238                  0.01      0.00      0.00      Open
  p234                  0.03      0.01      0.00      Open
  p237                  0.01      0.00      0.00      Open
  p230                  0.09      0.02      0.01      Open
  p235                  0.00      0.00      0.00      Open
  p231                  0.03      0.01      0.01      Open
  p236                  0.02      0.01      0.01      Open
  p229                  0.09      0.02      0.01      Open
  p283                  0.18      0.04      0.02      Open
  p286                  0.03      0.01      0.00      Open
  p272                  0.73      0.14      0.37      Open
  p270                  0.83      0.16      0.47      Open
  p285                  0.11      0.02      0.01      Open
  p280                  0.03      0.01      0.01      Open
  p279                  0.33      0.06      0.10      Open
  p288                  0.07      0.01      0.01      Open
  p275                  0.08      0.02      0.01      Open
  p284                  0.02      0.01      0.02      Open
  p287                  0.07      0.01      0.01      Open
  p271                  0.04      0.01      0.00      Open
  p274                  0.56      0.11      0.24      Open
  p282                  0.07      0.03      0.03      Open
  p281                  0.27      0.05      0.07      Open
  p227                  0.06      0.01      0.01      Open
  p240                  0.11      0.02      0.01      Open
  p225                  5.06      0.32      0.82      Open
  p245                  4.31      0.60      3.88      Open
  p241                  4.31      0.60      3.88      Open
  p239                  4.46      0.62      4.12      Open
  p247                  4.20      0.58      3.69      Open
  p244                  0.00      0.00      0.00      Open
  p246                  0.04      0.04      0.11      Open
  p195                  0.09      0.02      0.01      Open
  p273                  0.08      0.01      0.01      Open


  Page 21                                                         prueba
  Link Results: (continued)
  ----------------------------------------------------------------------
  Link                  Flow  VelocityUnit Headloss    Status
  ID                     LPS       m/s      m/km
  ----------------------------------------------------------------------
  p276                  0.19      0.04      0.03      Open
  p226                  0.44      0.06      0.07      Open
  p228                  0.37      0.08      0.13      Open
  p4                    2.79      0.54      3.97      Open
  p7                    1.00      0.19      0.65      Open
  p5                    0.03      0.01      0.00      Open
  p3                    0.01      0.00      0.00      Open
  p6                    2.71      0.53      3.79      Open
  p194                  0.20      0.04      0.04      Open
  p222                  5.17      0.33      0.85      Open
  p259                  2.13      0.41      2.47      Open
  p260                  0.07      0.01      0.01      Open
  p266                  0.29      0.06      0.08      Open
  p277                  0.63      0.12      0.29      Open
  p262                  0.02      0.00      0.00      Open
  p263                  1.92      0.37      2.05      Open
  p261                  2.00      0.39      2.21      Open
  p269                  1.53      0.30      1.37      Open
  p267                  0.09      0.02      0.01      Open
  p268                  0.16      0.03      0.02      Open
  p265                  0.09      0.02      0.01      Open
  p278                  0.18      0.04      0.02      Open
  p264                  0.39      0.08      0.13      Open
  p221                  0.06      0.01      0.01      Open
  p204                  1.00      0.20      0.74      Open
  p213                  0.02      0.00      0.00      Open
  p257                  0.13      0.03      0.01      Open
  p250                  1.64      0.32      1.55      Open
  p253                  0.05      0.01      0.00      Open
  p249                  1.89      0.37      1.99      Open
  p216                  0.09      0.01      0.00      Open
  p202                  1.09      0.22      0.86      Open
  p200                  1.16      0.24      0.96      Open
  p220                  0.11      0.04      0.05      Open
  p215                  0.11      0.02      0.01      Open
  p254                  1.39      0.27      1.17      Open
  p258                  2.13      0.21      0.50      Open
  p206                  0.04      0.02      0.02      Open
  p251                  0.08      0.02      0.01      Open
  p203                  0.05      0.01      0.01      Open
  p207                  0.10      0.02      0.01      Open
  p205                  0.21      0.04      0.04      Open
  p218                  0.03      0.01      0.00      Open
  p255                  0.20      0.04      0.03      Open
  p209                  0.66      0.14      0.36      Open
  p211                  0.06      0.01      0.01      Open
  p219                  0.21      0.04      0.04      Open


  Page 22                                                         prueba
  Link Results: (continued)
  ----------------------------------------------------------------------
  Link                  Flow  VelocityUnit Headloss    Status
  ID                     LPS       m/s      m/km
  ----------------------------------------------------------------------
  p217                  0.04      0.01      0.00      Open
  vs121-209             0.04      0.01      0.00      Open
  p256                  0.11      0.02      0.01      Open
  p252                  1.52      0.29      1.36      Open
  p212                  0.02      0.00      0.00      Open
  p170                  1.73      0.35      1.94      Open
  p169                  0.00      0.00      0.00      Open
  p163                  0.15      0.03      0.02      Open
  p171                  0.03      0.01      0.00      Open
  p159                  1.95      0.40      2.40      Open
  p164                  0.12      0.02      0.01      Open
  p181                  0.08      0.02      0.01      Open
  p160                  1.95      0.40      2.39      Open
  p161                  0.00      0.00      0.00      Open
  p198                  1.29      0.26      1.16      Open
  p197                  1.29      0.26      1.16      Open
  p168                  0.02      0.00      0.00      Open
  p182                  0.06      0.01      0.01      Open
  p166                  0.06      0.01      0.01      Open
  p165                  0.03      0.01      0.00      Open
  p167                  0.02      0.00      0.00      Open
  p199                  1.23      0.25      1.07      Open
  p162                  1.95      0.40      2.39      Open
  p183                  0.37      0.07      0.12      Open
  p189                  0.40      0.08      0.14      Open
  p191                  0.05      0.01      0.00      Open
  p188                  0.22      0.04      0.04      Open
  p173                  0.75      0.15      0.40      Open
  p176                  0.77      0.15      0.42      Open
  p177                  0.16      0.03      0.02      Open
  p186                  0.04      0.01      0.00      Open
  p184                  0.35      0.07      0.11      Open
  p185                  0.83      0.16      0.47      Open
  p179                  0.61      0.12      0.28      Open
  p187                  0.79      0.15      0.43      Open
  p174                  0.08      0.02      0.01      Open
  p178                  0.11      0.02      0.01      Open
  p180                  0.23      0.04      0.05      Open
  p190                  0.15      0.03      0.02      Open
  p175                  0.58      0.11      0.25      Open
  p99                   0.24      0.05      0.06      Open
  p97                   0.02      0.00      0.00      Open
  p87                  13.80      0.85      4.39      Open
  p106                  0.01      0.00      0.00      Open
  p103                  0.01      0.00      0.00      Open
  p101                  0.01      0.00      0.00      Open
  p96                   0.02      0.00      0.00      Open


  Page 23                                                         prueba
  Link Results: (continued)
  ----------------------------------------------------------------------
  Link                  Flow  VelocityUnit Headloss    Status
  ID                     LPS       m/s      m/km
  ----------------------------------------------------------------------
  p94                   0.03      0.01      0.00      Open
  p2                    2.84      0.55      4.10      Open
  p98                  10.35      0.66      2.93      Open
  p93                   0.08      0.02      0.01      Open
  p95                   0.05      0.01      0.01      Open
  p157                  8.70      1.20     13.71      Open
  p92                  10.58      0.68      3.05      Open
  p1                    2.95      0.60      5.02      Open
  p102                  0.22      0.04      0.05      Open
  p126                  5.24      0.34      2.84      Open
  p124                  3.47      0.36      1.37      Open
  p100                  0.24      0.05      0.06      Open
  p155                  8.70      1.20     13.71      Open
  p125                  3.47      0.22      2.35      Open
  p104                  0.19      0.04      0.03      Open
  p122                 10.08      0.65      2.80      Open
  p192                  6.75      0.43      1.36      Open
  p105                  0.04      0.01      0.00      Open
  p156                  8.70      1.20     13.71      Open
  p121                 10.08      0.65      2.80      Open
  p158                  1.95      0.40      2.39      Open
  p108                  0.14      0.03      0.02      Open
  p172                  1.52      0.31      1.55      Open
  p208                  0.05      0.01      0.00      Open
  p201                  0.04      0.01      0.00      Open
  p13                  -0.07      0.01      0.01      Open
  p56                   0.11      0.02      0.01      Open
  p18                   0.03      0.01      0.00      Open
  p51                   0.29      0.06      0.09      Open
  p59                   0.03      0.01      0.00      Open
  p15                  -0.13      0.03      0.02      Open
  p55                   0.12      0.02      0.01      Open
  p10                   0.28      0.06      0.08      Open
  p58                   0.03      0.01      0.00      Open
  p57                   0.10      0.02      0.01      Open
  p14                   0.06      0.01      0.01      Open
  p20                   0.33      0.07      0.11      Open
  p9                    0.82      0.16      0.47      Open
  p52                   0.14      0.03      0.02      Open
  p54                   0.12      0.03      0.01      Open
  p17                  -0.18      0.04      0.03      Open
  p22                   1.45      0.28      1.25      Open
  p8                    0.02      0.00      0.00      Open
  p16                  -0.13      0.02      0.01      Open
  p53                   0.06      0.01      0.01      Open
  p19                  -0.24      0.05      0.05      Open
  p12                   0.31      0.06      0.09      Open


  Page 24                                                         prueba
  Link Results: (continued)
  ----------------------------------------------------------------------
  Link                  Flow  VelocityUnit Headloss    Status
  ID                     LPS       m/s      m/km
  ----------------------------------------------------------------------
  p35                   0.03      0.01      0.01      Open
  p61                   0.06      0.01      0.01      Open
  p78                   0.61      0.08      0.12      Open
  p63                   0.72      0.15      0.42      Open
  p70                   0.24      0.07      0.14      Open
  p38                   0.47      0.09      0.18      Open
  p72                   0.03      0.01      0.00      Open
  p26                   0.03      0.01      0.00      Open
  p24                   0.18      0.03      0.02      Open
  p84                   1.85      0.11      0.12      Open
  p90                  10.67      0.66      2.77      Open
  p64                   0.72      0.14      0.37      Open
  p21                   0.51      0.10      0.23      Open
  p118                  0.02      0.00      0.00      Open
  p117                  0.01      0.00      0.00      Open
  p110                  0.12      0.02      0.01      Open
  p75                   0.00      0.00      0.00      Open
  p28                  -0.05      0.01      0.00      Open
  p41                   0.07      0.01      0.01      Open
  p86                   1.13      0.22      0.79      Open
  p119                  0.01      0.00      0.00      Open
  p115                  0.01      0.00      0.00      Open
  p76                   0.65      0.13      0.31      Open
  p43                   0.05      0.01      0.01      Open
  p85                   1.96      0.12      0.14      Open
  p32                  -0.26      0.05      0.07      Open
  p47                   0.04      0.01      0.00      Open
  p116                  0.05      0.01      0.01      Open
  p27                   0.08      0.01      0.01      Open
  p45                   0.02      0.00      0.00      Open
  p42                   0.12      0.02      0.01      Open
  p89                  10.67      0.66      2.77      Open
  p88                  10.67      1.06      8.86      Open
  p91                  10.67      0.66      2.77      Open
  p65                   0.37      0.07      0.12      Open
  p82                   0.96      0.06      0.04      Open
  p79                   0.19      0.04      0.03      Open
  p40                   0.21      0.04      0.04      Open
  p39                   0.25      0.05      0.06      Open
  p80                   0.80      0.11      0.20      Open
  p62                   0.75      0.15      0.40      Open
  p107                  0.01      0.00      0.00      Open
  p114                  0.07      0.01      0.01      Open
  p34                   0.05      0.02      0.02      Open
  p31                   0.07      0.03      0.03      Open
  p37                  -0.45      0.09      0.16      Open
  p69                   0.02      0.01      0.00      Open


  Page 25                                                         prueba
  Link Results: (continued)
  ----------------------------------------------------------------------
  Link                  Flow  VelocityUnit Headloss    Status
  ID                     LPS       m/s      m/km
  ----------------------------------------------------------------------
  p68                   0.28      0.08      0.18      Open
  p77                   0.04      0.01      0.00      Open
  p25                   0.11      0.02      0.01      Open
  p48                   0.58      0.11      0.26      Open
  p60                   1.00      0.19      0.65      Open
  p23                   0.82      0.16      0.47      Open
  p73                   1.11      0.15      0.36      Open
  p30                  -0.09      0.02      0.01      Open
  p36                   0.03      0.01      0.01      Open
  p66                   0.12      0.03      0.03      Open
  p49                   0.35      0.07      0.11      Open
  p33                  -0.40      0.08      0.13      Open
  p120                  0.00      0.00      0.00      Open
  p109                  0.01      0.00      0.00      Open
  p111                  0.04      0.01      0.00      Open
  p71                   1.08      0.15      0.34      Open
  p74                   0.59      0.11      0.26      Open
  p29                   0.02      0.00      0.00      Open
  p44                   0.02      0.00      0.00      Open
  p46                   0.06      0.01      0.00      Open
  p83                   1.78      0.11      0.12      Open
  p131                  1.20      0.08      0.06      Open
  p147                  0.67      0.13      0.32      Open
  p143                  0.15      0.03      0.02      Open
  p142                  0.85      0.16      0.49      Open
  p112                  0.01      0.00      0.00      Open
  p132                  1.20      0.08      0.06      Open
  p141                  0.05      0.01      0.01      Open
  p136                  0.05      0.01      0.01      Open
  p134                  0.05      0.01      0.00      Open
  p151                  0.16      0.03      0.02      Open
  p133                  0.20      0.04      0.03      Open
  p152                  0.22      0.04      0.04      Open
  p139                  0.01      0.00      0.00      Open
  p148                  0.05      0.01      0.00      Open
  p138                  0.13      0.03      0.01      Open
  p135                  0.10      0.02      0.01      Open
  p150                  0.53      0.10      0.22      Open
  p144                  0.04      0.01      0.00      Open
  p137                  0.99      0.10      0.13      Open
  p140                  0.10      0.02      0.01      Open
  p145                  0.05      0.01      0.00      Open
  p129                  0.03      0.00      0.00      Open
  p146                  0.69      0.13      0.34      Open
  p113                  0.01      0.00      0.00      Open
  p149                  0.62      0.12      0.29      Open
  p153                  0.09      0.02      0.01      Open


  Page 26                                                         prueba
  Link Results: (continued)
  ----------------------------------------------------------------------
  Link                  Flow  VelocityUnit Headloss    Status
  ID                     LPS       m/s      m/km
  ----------------------------------------------------------------------
  p154                  0.06      0.01      0.01      Open
  p67                   0.08      0.02      0.01      Open
  p193                  5.41      0.35      0.92      Open
  p127                  0.09      0.01      0.00      Open
  p11                   0.20      0.04      0.04      Open
  p50                  -0.01      0.00      0.00      Open
  p196                  0.00      0.00      0.00      Open
  p130                  1.21      0.08      0.07      Open
  p248                  4.04      0.56      3.45      Open
  p210                  0.40      0.08      0.13      Open
  p214                  0.34      0.07      0.10      Open
  p123                  4.84      0.31      0.79      Open
  p223                  5.09      0.33      0.82      Open
  p224                  5.09      0.33      0.83      Open
  p81                   0.03      0.00      0.00      Open
  p242                  4.31      0.60      3.87      Open
  p243                  4.31      0.60      3.87      Open
  vs2-10                0.02      0.00      0.00      Open
  vs1-8                 2.71      0.54      5.21      Open
  vs3-11                0.28      0.06      0.00      Open
  vs4-11                0.31      0.06      0.00      Open
  vs5-14                0.31      0.06      0.37      Open
  vs26-14               0.29      0.06      0.00      Open
  vs6-15                0.06      0.01      0.00      Open
  vs7-18               -0.18      0.04      0.00      Open
  vs8-19                0.03      0.01      0.00      Open
  vs9-21                0.33      0.07      0.00      Open
  vs10-22               0.51      0.10      0.00      Open
  vs11-23               0.51      0.10      0.00      Open
  vs12-24               0.18      0.04      0.00      Open
  vs13-25               0.11      0.02      0.00      Open
  vs14-27               0.08      0.01      0.37      Open
  vs15-29               0.02      0.00      0.00      Open
  vs16-33              -0.40      0.08      0.00      Open
  vs17-35               0.03      0.01      0.00      Open
  vs18-39               0.25      0.05      0.00      Open
  vs19-41               0.18      0.04      0.00      Open
  vs20-41               0.18      0.04      0.00      Open
  vs21-43               0.05      0.01      0.00      Open
  vs22-47               0.04      0.01      0.00      Open
  vs23-49               0.35      0.07      0.00      Open
  vs24-50               0.35      0.07      0.37      Open
  vs25-50              -0.01      0.00      0.00      Open
  vs27-51               0.14      0.03      0.00      Open
  vs29-51               0.12      0.02      0.00      Open
  vs28-52               0.06      0.01      0.00      Open
  vs30-55               0.11      0.02      0.00      Open


  Page 27                                                         prueba
  Link Results: (continued)
  ----------------------------------------------------------------------
  Link                  Flow  VelocityUnit Headloss    Status
  ID                     LPS       m/s      m/km
  ----------------------------------------------------------------------
  vs31-56               0.10      0.02      0.00      Open
  vs32-57               0.03      0.01      0.00      Open
  vs33-50               1.00      0.20      0.74      Open
  vs34-60               0.06      0.01      0.00      Open
  vs35-64               0.37      0.07      0.37      Open
  vs36-65               0.12      0.03      0.00      Open
  vs37-65               0.08      0.02      0.00      Open
